#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	1.8490372063266658E-5
20.0	1.0354608355429326E-4
21.0	8.875378590367995E-5
22.0	4.0678818539186646E-5
23.0	2.5886520888573318E-5
24.0	1.1094223237959994E-5
25.0	2.9584595301226652E-5
26.0	4.696554504069731E-4
27.0	0.002684802023586319
28.0	3.2912862272614657E-4
29.0	0.0010243666123049729
30.0	0.003165551697231252
31.0	0.006024163218212277
32.0	0.00799153880574385
33.0	0.0039791280680149844
34.0	0.008435307735262248
35.0	0.014533432441727593
36.0	0.00753667565298749
37.0	0.013335256332027912
38.0	0.011319805777131849
39.0	0.027924159889945305
40.0	0.025357696247563895
41.0	0.026370968636630906
42.0	0.029492143440910317
43.0	0.02000288449804187
44.0	0.007255621997625836
45.0	0.026777756822022773
46.0	0.01610511406710526
47.0	0.02106792992888603
48.0	0.03658135208996676
49.0	0.027754048466963253
50.0	0.031951362925324786
51.0	0.036285506136954485
52.0	0.03185151491618314
53.0	0.043518939688104406
54.0	0.027654200457821614
55.0	0.03435141321913679
56.0	0.03576777571918302
57.0	0.042243104015739004
58.0	0.03580845453772221
59.0	0.03181453417205661
60.0	0.03134118064723698
61.0	0.06224968658819353
62.0	0.022365954047727347
63.0	0.009430089752265995
64.0	0.02830136348003595
65.0	0.02618236684158558
66.0	0.022443613610393064
67.0	0.029836064361287072
68.0	0.023856278036026638
69.0	0.01434113257226962
70.0	0.007074416351405824
71.0	0.0014755316906486793
72.0	0.0053511136751093705
73.0	0.002045035150197292
74.0	0.008239309791391623
75.0	0.008239309791391623
76.0	8.505571149102662E-5
77.0	1.8490372063266658E-5
78.0	1.4792297650613326E-5
79.0	3.6980744126533315E-6
80.0	3.6980744126533315E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.8490372063266658E-5
