#Read position (bp)	Clipping profile
0.0	11.99644451057386
1.0	1.35004754343424
2.0	1.3295112596956447
3.0	1.2958782516105483
4.0	1.254030730030014
5.0	1.1944367594829195
6.0	1.1755278793613448
7.0	1.1430573024312634
8.0	1.1105867255011823
9.0	1.084393276808181
10.0	1.0533176172641177
11.0	1.03471871878388
12.0	1.010462655349237
13.0	0.9810143994221943
14.0	0.9494737674161248
15.0	0.9032865028568683
16.0	0.8670186508204052
17.0	0.8319907253492912
18.0	0.7852609929176944
19.0	0.7465132877505329
20.0	0.7109428944070788
21.0	0.6825020788143822
22.0	0.6551461989663663
23.0	0.6281777961700218
24.0	0.6033792648630385
25.0	0.5756359079633508
26.0	0.5575794773554537
27.0	0.5365007257445178
28.0	0.5170493777506028
29.0	0.5009303324010635
30.0	1.565717270394661
31.0	1.6233738556833972
32.0	1.2134231350148288
33.0	1.0909803866865984
34.0	1.261005316960103
35.0	1.124690890182029
36.0	0.9672202163826847
37.0	0.8288909089359182
38.0	0.7544178196046339
39.0	0.7362838935864023
40.0	0.5781932565043836
41.0	0.5199167079329727
42.0	0.5603693121274893
43.0	0.602061842887355
44.0	0.5561070645591015
45.0	0.6030692832217012
46.0	0.6166309800302078
47.0	0.4896160024922524
48.0	0.45226321471110875
49.0	0.3505117409421427
50.0	0.48946101167158373
51.0	0.39662151009106483
52.0	0.3079667606685994
53.0	0.4498608569907447
54.0	0.3648483918539924
55.0	0.34113479629168963
56.0	0.35082172258348
57.0	0.4199476286016961
58.0	0.3727529237080934
59.0	0.3397398789056718
60.0	0.2923901831914005
61.0	0.3387324385713256
62.0	0.28510561461997413
63.0	0.2883604218540157
64.0	0.2897553392400335
65.0	0.34617199796342063
66.0	0.3218384391184432
67.0	0.32842554899686066
68.0	0.3143988797263482
69.0	0.2975048802734658
70.0	0.33098289753789334
71.0	0.29425007303942424
72.0	0.3815874004862062
73.0	0.3339277231305976
74.0	0.26580925744672773
75.0	0.2827032568996101
76.0	0.3446995851670685
77.0	0.316258769574372
78.0	0.3540765298175215
79.0	0.2606945603646624
80.0	0.3408248146503523
81.0	0.3047119534345578
82.0	0.3188936135257389
83.0	0.2714664224011333
84.0	0.27262885355614813
85.0	0.27735607358654185
86.0	0.27247386273547947
87.0	0.2706139728874557
88.0	0.2833232201822847
89.0	0.2752636975075151
90.0	0.2771235873555389
91.0	0.2830132385409474
92.0	0.2828582477202788
93.0	0.2837106972339563
94.0	0.28851541267468434
95.0	0.30168963243151925
96.0	0.298512320607812
97.0	0.3056418983585697
98.0	0.3064943478722473
99.0	0.3120740174163185
100.0	0.3187386227050703
101.0	0.3238533197871356
102.0	0.32951048474154115
103.0	0.3360975946199586
104.0	0.3405923284193494
105.0	0.348419364863116
106.0	0.35438651145885885
107.0	0.3608186305166077
108.0	0.368103199088034
109.0	0.3719004741944158
110.0	0.3767826850454782
111.0	0.3805024647415257
112.0	0.3852296847719194
113.0	0.3924367579330114
114.0	0.39491661106370973
115.0	0.4032086199694823
116.0	0.4085558032825506
117.0	0.4178552525226693
118.0	0.43087448145883556
119.0	0.4383140408509306
120.0	0.4458310956533599
121.0	0.45745540720350836
122.0	0.46822726923997926
123.0	0.4857412319755362
124.0	0.49814049762902796
125.0	0.5158869465955879
126.0	0.5327809460484703
127.0	0.5539371930697404
128.0	0.5770308253493687
129.0	0.6036117510940414
130.0	0.6273253466563443
131.0	0.6533638045286768
132.0	0.6798672348630153
133.0	0.706448160607688
134.0	0.7365938752277397
135.0	0.7598424983280365
136.0	0.7875858552277241
137.0	0.8089745884799974
138.0	0.8259460833432141
139.0	0.8428400827960965
140.0	0.8605865317626563
141.0	0.8793404210635625
142.0	0.9011941267778416
143.0	0.917855639999721
144.0	0.9325797679632424
145.0	0.9453665106684057
146.0	0.9628804734039628
147.0	0.9452890152580714
148.0	0.8850750814283024
149.0	0.7451958657748495
150.0	0.4885310667475719
