#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	6.741270055278414E-6
16.0	0.0
17.0	0.0
18.0	0.0
19.0	3.370635027639207E-5
20.0	4.0447620331670486E-5
21.0	8.763651071861939E-5
22.0	2.3594445193474449E-4
23.0	9.842254280706484E-4
24.0	0.0012875825805581773
25.0	0.0021437238775785356
26.0	0.0020695699069704734
27.0	0.004348119185654578
28.0	0.005076176351624646
29.0	0.0066334097343939595
30.0	0.009410812997168666
31.0	0.01173655116623972
32.0	0.013617365511662398
33.0	0.01479034650128084
34.0	0.0173318053121208
35.0	0.0194890117298099
36.0	0.022266414992584603
37.0	0.025057300795469865
38.0	0.02877848186598355
39.0	0.03030875016853175
40.0	0.03127949305649184
41.0	0.031980585142240794
42.0	0.032398543885668055
43.0	0.029129027908858025
44.0	0.0277335850074154
45.0	0.02814480248078738
46.0	0.029506539031953615
47.0	0.0275448294458676
48.0	0.027868410408520963
49.0	0.026048267493595796
50.0	0.023439395982203046
51.0	0.023830389645409195
52.0	0.021477686396117027
53.0	0.021106916543076715
54.0	0.021639476877443713
55.0	0.023837130915464473
56.0	0.023371983281650265
57.0	0.02147094512606175
58.0	0.020183362545503576
59.0	0.020223810165835243
60.0	0.0224551705541324
61.0	0.022502359444519348
62.0	0.022064176890926247
63.0	0.01917217203721181
64.0	0.018289065659970336
65.0	0.02047997842793582
66.0	0.021565322906835646
67.0	0.018147498988809487
68.0	0.014689227450451668
69.0	0.011716327356073884
70.0	0.010705136847782121
71.0	0.008831063772414723
72.0	0.00786706215450991
73.0	0.007476068491303763
74.0	0.006889577996494539
75.0	0.006903060536605097
76.0	0.0068086827558312
77.0	0.0064513954429014425
78.0	0.005332344613725225
79.0	0.005440204934609681
80.0	0.0042537414048806794
81.0	0.0019954159363624107
82.0	9.977079681812054E-4
83.0	3.5728731292975597E-4
84.0	1.820142914925172E-4
85.0	1.6853175138196034E-4
86.0	1.2134286099501146E-4
87.0	6.741270055278414E-5
88.0	2.6965080221113657E-5
89.0	3.370635027639207E-5
90.0	3.370635027639207E-5
91.0	1.3482540110556829E-5
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.3482540110556829E-5
