#Position (bp)	insert size	chromosomes
3877256.5	266.3091517857143	0.0
1.16317685E7	256.8757170172084	4.083550790615836E7
1.93862805E7	269.76214405360133	0.0
2.71407925E7	261.8987341772152	0.0
3.48953045E7	251.79611650485438	4.083550790615836E7
4.26498165E7	258.9282178217822	0.0
5.04043285E7	264.59287531806615	0.0
5.81588405E7	280.7590759075908	4.083550790615836E7
6.59133525E7	254.9407114624506	0.0
7.36678645E7	272.153488372093	0.0
8.14223765E7	263.92934782608694	4.083550790615836E7
8.91768885E7	276.0796812749004	0.0
9.69314005E7	271.8739926739927	0.0
1.046859125E8	261.89005235602093	4.083550790615836E7
1.124404245E8	272.0041609701005	0.0
1.201949365E8	231.965	0.0
1.279494485E8	0.0	4.083550790615836E7
1.357039605E8	0.0	0.0
1.434584725E8	264.6569037656904	0.0
1.512129845E8	258.2391304347826	4.083550790615836E7
1.589674965E8	259.24665744582757	0.0
1.667220085E8	274.41901408450707	0.0
1.744765205E8	248.64092664092664	4.083550790615836E7
1.822310325E8	261.05298013245033	0.0
1.899855445E8	279.91011235955057	0.0
1.977400565E8	247.45	4.083550790615836E7
2.054945685E8	90292.48951048951	0.0
2.132490805E8	256.9010600706714	0.0
2.210035925E8	260.1098901098901	4.083550790615836E7
2.287581045E8	280.4932207725761	0.0
2.365126165E8	258.38709677419354	0.0
2.442671285E8	255.70106761565836	4.083550790615836E7
2.48697503E8	246.82758620689654	0.0
2.52574759E8	274.3492063492063	0.0
2.597761525E8	255.56873315363882	4.083550790615836E7
2.675306645E8	252.62418300653596	0.0
2.752851765E8	253.81305987741632	0.0
2.830396885E8	4.083550790615836E7	4.083550790615836E7
2.907942005E8	269.8333333333333	0.0
2.985487125E8	305.8817593790427	0.0
3.063032245E8	261.592	4.083550790615836E7
3.140577365E8	262.7644927536232	0.0
3.218122485E8	259.1243523316062	0.0
3.295667605E8	276.0159574468085	4.083550790615836E7
3.373212725E8	244.5438596491228	0.0
3.450757845E8	278.8119708029197	0.0
3.528302965E8	447703.6138211382	4.083550790615836E7
3.605848085E8	265.3074534161491	0.0
3.683393205E8	263.2053872053872	0.0
3.760938325E8	258.11842105263156	4.083550790615836E7
3.838483445E8	24692.613544201136	0.0
3.916028565E8	260514.14545454545	0.0
3.993573685E8	281.0753768844221	4.083550790615836E7
4.071118805E8	270.65234375	0.0
4.148663925E8	261.22289156626505	0.0
4.226209045E8	267.54350325795326	4.083550790615836E7
4.303754165E8	264.3	0.0
4.381299285E8	259.25431034482756	0.0
4.458844405E8	284.25061289047056	4.083550790615836E7
4.536389525E8	254.42335766423358	0.0
4.613934645E8	282.0596569724087	0.0
4.691479765E8	37143.032608695656	4.083550790615836E7
4.769024885E8	269.43362831858406	0.0
4.846570005E8	737.967032967033	0.0
4.904921255E8	270.6764705882353	4.083550790615836E7
4.943693815E8	288.4269662921348	0.0
5.001660245E8	262.08310991957103	0.0
5.079205365E8	266.2868383864337	4.083550790615836E7
5.156750485E8	262.3811475409836	0.0
5.234295605E8	261.0966386554622	0.0
5.311840725E8	259.143236687074	4.083550790615836E7
5.389385845E8	200181.67849686847	0.0
5.466930965E8	251.72649572649573	0.0
5.544476085E8	248.6159420289855	4.083550790615836E7
5.622021205E8	264.3210332103321	0.0
5.699566325E8	261.1818181818182	0.0
5.777111445E8	254.3850267379679	4.083550790615836E7
5.854656565E8	246.09782608695653	0.0
5.932201685E8	269.60360360360363	0.0
6.009746805E8	276.746875	4.083550790615836E7
6.087291925E8	245.29680365296804	0.0
6.164837045E8	265.1517857142857	0.0
6.242382165E8	249.8978494623656	4.083550790615836E7
6.319927285E8	249.74841678436374	0.0
6.397472405E8	259.9724409448819	0.0
6.475017525E8	253.18584070796462	4.083550790615836E7
6.552562645E8	256.2783505154639	0.0
6.630107765E8	254.4088888888889	0.0
6.707652885E8	285.19100192170015	4.083550790615836E7
6.785198005E8	254.77409638554218	0.0
6.862743125E8	262.463768115942	0.0
6.903119965E8	229.46153846153845	4.083550790615836E7
6.941892525E8	255.00247089087463	0.0
7.017833365E8	439853.25396825396	0.0
7.095378485E8	257.4337899543379	4.083550790615836E7
7.172923605E8	258.27450980392155	0.0
7.250468725E8	236.66666666666666	0.0
7.328013845E8	66570.34024896266	4.083550790615836E7
7.405558965E8	1340.7898832684825	0.0
7.483104085E8	273.4115797021152	0.0
7.560649205E8	244.78403755868544	4.083550790615836E7
7.638194325E8	254.5117370892019	0.0
7.715739445E8	281865.1950207469	0.0
7.793284565E8	260.0192307692308	4.083550790615836E7
7.870829685E8	263.72251308900525	0.0
7.948374805E8	269.98522167487687	0.0
8.025919925E8	282.875	4.083550790615836E7
8.103465045E8	250.24022346368716	0.0
8.181010165E8	272.5145631067961	0.0
8.258555285E8	241.0979020979021	4.083550790615836E7
8.336100405E8	5242.037640667443	0.0
8.413645525E8	286.4342253665539	0.0
8.491190645E8	264.6	4.083550790615836E7
8.568735765E8	251.3312101910828	0.0
8.646280885E8	260.010582010582	0.0
8.723826005E8	270.50961538461536	4.083550790615836E7
8.789432785E8	247.32876712328766	0.0
8.828205345E8	265.76300674967507	0.0
8.878916245E8	272.53846153846155	4.083550790615836E7
8.956461365E8	258.37593984962405	0.0
9.034006485E8	267.2011494252874	0.0
9.111551605E8	263.9859813084112	4.083550790615836E7
9.189096725E8	264.5378787878788	0.0
9.266641845E8	262.23943661971833	0.0
9.344186965E8	255.9609375	4.083550790615836E7
9.421732085E8	256.7718446601942	0.0
9.499277205E8	241.56727272727272	0.0
9.576822325E8	258.90384615384613	4.083550790615836E7
9.654367445E8	266.52789699570815	0.0
9.731912565E8	255.67592592592592	0.0
9.809457685E8	252.03076923076924	4.083550790615836E7
9.887002805E8	255.40350877192984	0.0
9.964547925E8	238.9825327510917	0.0
1.0042093045E9	282.1690821256039	4.083550790615836E7
1.0119638165E9	266.6796116504854	0.0
1.0197183285E9	268.3707865168539	0.0
1.0274728405E9	251.16339869281046	4.083550790615836E7
1.0352273525E9	268.0669014084507	0.0
1.0429818645E9	251.87547169811322	0.0
1.0507363765E9	261.98776758409787	4.083550790615836E7
1.0584908885E9	256.76031434184677	0.0
1.0624550525E9	314.4	0.0
1.0663323085E9	246.6889534883721	4.083550790615836E7
1.0739999125E9	249.2029520295203	0.0
1.0817544245E9	284728.9770491803	0.0
1.0895089365E9	258.88438626744005	4.083550790615836E7
1.0972634485E9	259.7770154373928	0.0
1.1050179605E9	262.91555555555556	0.0
1.1127724725E9	264.91266375545854	4.083550790615836E7
1.1205269845E9	277.18518518518516	0.0
1.1282814965E9	261.4529411764706	0.0
1.1360360085E9	256.1919642857143	4.083550790615836E7
1.1437905205E9	275.26146788990826	0.0
1.1515450325E9	269.55823293172693	0.0
1.1592995445E9	253.92857142857142	4.083550790615836E7
1.1670540565E9	271.7886221294363	0.0
1.1748085685E9	254.72363636363636	0.0
1.1825630805E9	287.06490984743414	4.083550790615836E7
1.1903175925E9	253.74641148325358	0.0
1.1980721045E9	273.640625	0.0
1.2058266165E9	282.15668202764977	4.083550790615836E7
1.2135811285E9	258.212927756654	0.0
1.2213356405E9	265.6223564954683	0.0
1.2290901525E9	257.1168091168091	4.083550790615836E7
1.233312218E9	251.97142857142856	0.0
1.237189474E9	264.83298969072166	0.0
1.2445991765E9	7588.9925093632955	4.083550790615836E7
1.2523536885E9	255.2863436123348	0.0
1.2601082005E9	249.49720670391062	0.0
1.2678627125E9	258.03809523809525	4.083550790615836E7
1.2756172245E9	137103.70352941175	0.0
1.2833717365E9	255.08637873754154	0.0
1.2911262485E9	2637.261067567149	4.083550790615836E7
1.2988807605E9	261.95781399808243	0.0
1.3066352725E9	3702.3878326996196	0.0
1.3143897845E9	256.6519823788546	4.083550790615836E7
1.3221442965E9	243.92477876106196	0.0
1.3298988085E9	104540.85714285714	0.0
1.3376533205E9	39886.660079051384	4.083550790615836E7
1.3454078325E9	252.2731092436975	0.0
1.3531623445E9	273.02496961102105	0.0
1.3609168565E9	265.3314763231198	4.083550790615836E7
1.3686713685E9	264.2990353697749	0.0
1.3764258805E9	292.2764782527766	0.0
1.3841803925E9	262.85598377281946	4.083550790615836E7
1.3904266695E9	269.8411910669975	0.0
1.3943039255E9	259.748427672956	0.0
1.3996894165E9	264.5117056856187	4.083550790615836E7
1.4074439285E9	247.10256410256412	0.0
1.4151984405E9	252.09948979591837	0.0
1.4229529525E9	263.288206559665	4.083550790615836E7
1.4307074645E9	250.12245965983428	0.0
1.4384619765E9	240.30339321357286	0.0
1.4462164885E9	259.3755274261603	4.083550790615836E7
1.4539710005E9	268.29133858267716	0.0
1.4617255125E9	263.56583629893237	0.0
1.4694800245E9	266.8218623481781	4.083550790615836E7
1.4772345365E9	264.4780361757106	0.0
1.4849890485E9	269.52097902097904	0.0
1.4927435605E9	257.0946291560102	4.083550790615836E7
1.5004980725E9	255.3973941368078	0.0
1.5082525845E9	258.9192825112108	0.0
1.5160070965E9	55314.71264367816	4.083550790615836E7
1.5237616085E9	259.0306406685237	0.0
1.5315161205E9	264.5724815724816	0.0
1.5372765445E9	253.33156028368793	4.083550790615836E7
1.5411538005E9	283.9724770642202	0.0
1.5470251445E9	250.92640692640694	0.0
1.5547796565E9	279.7355769230769	4.083550790615836E7
1.5625341685E9	263.4449388209121	0.0
1.5702886805E9	249.190332326284	0.0
1.5780431925E9	261.06692913385825	4.083550790615836E7
1.5857977045E9	254.48611111111111	0.0
1.5935522165E9	0.0	0.0
1.6013067285E9	267.8333333333333	4.083550790615836E7
1.6090612405E9	233.51434034416826	0.0
1.6168157525E9	284.781003439207	0.0
1.6245702645E9	253.50738916256157	4.083550790615836E7
1.6323247765E9	255.93650793650792	0.0
1.6400792885E9	264.54829545454544	0.0
1.6478338005E9	248.73239436619718	4.083550790615836E7
1.6555883125E9	256.89240506329116	0.0
1.6633428245E9	270.22615803814716	0.0
1.6710973365E9	276.65671641791045	4.083550790615836E7
1.677673868E9	259.0390625	0.0
1.681551124E9	250.68613138686132	0.0
1.6866063605E9	390529.84713375795	4.083550790615836E7
1.6943608725E9	253.50396825396825	0.0
1.7021153845E9	268.9718309859155	0.0
1.7098698965E9	805273.6125461254	4.083550790615836E7
1.7176244085E9	248.0857142857143	0.0
1.7253789205E9	284.308065475259	0.0
1.7331334325E9	264.84274193548384	4.083550790615836E7
1.7408879445E9	250.82008368200837	0.0
1.7486424565E9	264.4026402640264	0.0
1.7563969685E9	252.84648187633263	4.083550790615836E7
1.7641514805E9	267.9695290858726	0.0
1.7719059925E9	268.2754098360656	0.0
1.7796605045E9	261.19101123595505	4.083550790615836E7
1.7874150165E9	255.5607476635514	0.0
1.7951695285E9	253.86350974930363	0.0
1.8029240405E9	267.29736221698323	4.083550790615836E7
1.8106785525E9	267.31496062992125	0.0
1.8152318495E9	255.9047619047619	0.0
1.8191091055E9	245.9066586420091	4.083550790615836E7
1.8261875765E9	122089.66550522648	0.0
1.8339420885E9	253.90264037214178	0.0
1.8416966005E9	254.42168674698794	4.083550790615836E7
1.8494511125E9	257.29323308270676	0.0
1.8572056245E9	262.1097046413502	0.0
1.8649601365E9	252.48619957537156	4.083550790615836E7
1.8727146485E9	260.53688524590166	0.0
1.8804691605E9	139703.11239193083
1.8882236725E9	249.75706214689265
1.8959781845E9	263.1188524590164
1.9037326965E9	257.1111111111111
1.9114872085E9	256.67699115044246
1.9192417205E9	287.9694334650856
1.9269962325E9	256.7448275862069
1.9347507445E9	5633.715536105033
1.9425052565E9	291.6073724817831
1.9486484595E9	248.38541666666666
1.9525257155E9	273.5133689839572
1.9580142805E9	266.50742574257424
1.9657687925E9	259.0577777777778
1.9735233045E9	280.4001899635903
1.9812778165E9	282.20557491289196
1.9890323285E9	270.20529801324506
1.9967868405E9	250.7826086956522
2.0045413525E9	255.01273885350318
2.0122958645E9	247.40710028504793
2.0200503765E9	267.85042735042737
2.0278048885E9	252.03333333333333
2.0355594005E9	263.34054054054053
2.0433139125E9	278.19028340080973
2.0510684245E9	254.9875
2.0588229365E9	264.70506912442397
2.0665774485E9	269.95231137088206
2.0743319605E9	257.68888888888887
2.081487759E9	262.94805194805195
2.085365015E9	0.0
2.0898409845E9	0.0
2.0975954965E9	0.0
2.1053500085E9	249.67410714285714
2.1131045205E9	258.38461538461536
2.1208590325E9	269.11650485436894
2.1286135445E9	264.6409395973154
2.1363680565E9	275.31632653061223
2.1441225685E9	259.58579881656806
2.1518770805E9	257.4475138121547
2.1596315925E9	281.81437125748505
2.1673861045E9	262.41340782122904
2.1751406165E9	261.97714285714284
