#Position (bp)	mapping quality
2.7567290165E9	0.0
2.7644835285E9	0.0
2.7722380405E9	59.989772912277935
2.778857061E9	0.0
2.782734317E9	0.0
2.7877470645E9	0.0
2.7955015765E9	0.0
2.8032560885E9	0.0
2.8110106005E9	0.0
2.8187651125E9	0.0
2.8261855445E9	0.0
2.8300628005E9	0.0
2.8342741365E9	0.0
2.8420286485E9	0.0
2.8497831605E9	0.0
2.8575376725E9	0.0
2.8652921845E9	0.0
2.8730466965E9	0.0
2.8789786195E9	0.0
2.8828558755E9	0.0
2.8885557205E9	0.0
2.8963102325E9	0.0
2.9040647445E9	0.0
2.9118192565E9	0.0
2.9195737685E9	0.0
2.9273282805E9	0.0
2.9350827925E9	0.0
2.9428373045E9	0.0
2.9505918165E9	0.0
2.9583463285E9	0.0
2.9661008405E9	0.0
2.9738553525E9	0.0
2.9816098645E9	0.0
2.9893643765E9	0.0
2.9971188885E9	0.0
3.0048734005E9	0.0
3.0126279125E9	0.0
3.0203824245E9	0.0
3.0281369365E9	0.0
3.0341590195E9	0.0
3.0380362755E9	0.0
3.0436459605E9	0.0
3.0514004725E9	0.0
3.0591549845E9	0.0
3.0669094965E9	0.0
3.0746640085E9	0.0
3.0824185205E9	0.0
3.0901730325E9	0.0
3.0948638505E9	0.0
3.095685697E9	0.0
3.0956961125E9	0.0
3.0957057475E9	0.0
3.095723208E9	0.0
3.0957468575E9	0.0
3.0957743915E9	0.0
3.0958051445E9	0.0
3.0958392935E9	0.0
3.0958746045E9	0.0
3.0959108895E9	0.0
3.095947426E9	0.0
3.095984339E9	0.0
3.0960216755E9	0.0
3.0960595015E9	0.0
3.0960978295E9	0.0
3.0961365375E9	0.0
3.0961758875E9	0.0
3.096215745E9	0.0
3.096255679E9	0.0
3.0962957E9	0.0
3.096336017E9	0.0
3.0963766085E9	0.0
3.096417435E9	0.0
3.096458902E9	0.0
3.0965008355E9	0.0
3.0965428785E9	0.0
3.096585625E9	0.0
3.096629057E9	0.0
3.096672664E9	0.0
3.096717443E9	0.0
3.096763347E9	0.0
3.0968269725E9	0.0
3.09691267E9	0.0
3.097004057E9	0.0
3.097103618E9	0.0
3.0972210215E9	0.0
3.0973497685E9	0.0
3.0974831875E9	0.0
3.097629745E9	0.0
3.097787028E9	0.0
3.097947186E9	0.0
3.0981086605E9	0.0
3.098271681E9	0.0
3.0984370835E9	0.0
3.0986053035E9	0.0
3.098776315E9	0.0
3.0989485365E9	0.0
3.099120956E9	0.0
3.0992945225E9	0.0
3.0994714155E9	0.0
3.099650861E9	0.0
3.099830935E9	0.0
3.1000126105E9	0.0
3.1001974875E9	0.0
3.100384347E9	0.0
3.100571295E9	0.0
3.100759707E9	0.0
3.100950336E9	0.0
3.101151657E9	0.0
3.1015309915E9	0.0
