#Read position (bp)	Clipping profile
0.0	4.62382663435559
1.0	1.4550596149994495
2.0	1.3226850028053339
3.0	1.2675068077424558
4.0	1.2120633328956216
5.0	1.1198786079708616
6.0	1.0751789643742513
7.0	0.881126802410332
8.0	0.836692438597678
9.0	0.796104631652388
10.0	0.7655974564974314
11.0	0.7350902813424749
12.0	0.7075011838110359
13.0	0.6811058453073996
14.0	0.6589549833470616
15.0	0.6397221990102411
16.0	0.6240706917568286
17.0	0.6085518243953942
18.0	0.587992641138793
19.0	0.5744633721570297
20.0	0.562127862203069
21.0	0.5585465851196612
22.0	0.5557611473881217
23.0	0.5385179614309722
24.0	0.5187546175262395
25.0	0.5103983043316209
26.0	0.493818317834362
27.0	0.4897064811830418
28.0	0.4610562645157782
29.0	0.4785647302568837
30.0	0.5759224109687885
31.0	0.5195504568781079
32.0	0.4577402672163264
33.0	0.46026042516390975
34.0	0.46715769954676944
35.0	0.44845547477786135
36.0	0.5058885480043666
37.0	0.4524346715372035
38.0	0.4784320903649056
39.0	0.4595972257040194
40.0	0.46158682408369045
41.0	0.44235403974687004
42.0	0.43678316428379105
43.0	0.44169084028697964
44.0	0.4359873249319226
45.0	0.4743202537135853
46.0	0.4306817292527997
47.0	0.3915529611192685
48.0	0.4420887599629139
49.0	0.7937171135967827
50.0	0.3768299331097025
51.0	0.45323051088907196
52.0	0.41038782578015465
53.0	0.38266608835673765
54.0	0.35839298812475046
55.0	0.37603409375783403
56.0	0.3729833762423384
57.0	0.4595972257040194
58.0	0.5901148794104422
59.0	0.47047369684622126
60.0	0.45720970764841407
61.0	0.5019093512450243
62.0	0.44116028071906743
63.0	0.4623826634355589
64.0	0.4538937103489623
65.0	0.4467311561821464
66.0	0.530824847696244
67.0	0.558281305335705
68.0	0.49023704075095403
69.0	0.37364657570222876
70.0	0.3857168058722333
71.0	0.40481695031707565
72.0	0.3528221126616714
73.0	0.3651576226156321
74.0	0.35096515417397844
75.0	0.39287936003904916
76.0	0.36887153959101815
77.0	0.3786868915973955
78.0	0.3849209665203649
79.0	0.38545152608827715
80.0	0.39115504144333424
81.0	0.3831966479246499
82.0	0.3757688139738779
83.0	0.3838598473845403
84.0	0.3762993735417902
85.0	0.3785542517054174
86.0	0.4731264946857827
87.0	0.3996439945299308
88.0	0.4008377535577335
89.0	0.40919406675235204
90.0	0.4094593465363082
91.0	0.41383646297158455
92.0	0.4248455740057645
93.0	0.42590669314158913
94.0	0.4278962915212602
95.0	0.43015116968488737
96.0	0.4358546850399445
97.0	0.438640122771484
98.0	0.43638524460785677
99.0	0.4397012419073086
100.0	0.47524873295743186
101.0	0.4793605696087521
102.0	0.49143079977875664
103.0	0.5025725507049148
104.0	0.5324165263999808
105.0	0.5358651635914108
106.0	0.5328144460759151
107.0	0.5417013188384459
108.0	0.5531083495485601
109.0	0.5561590670640558
110.0	0.5601382638233979
111.0	0.5683619371260384
112.0	0.5715452945335121
113.0	0.5792384082682402
114.0	0.5858704028671439
115.0	0.5992670319569291
116.0	0.6073580653675916
117.0	0.8503543474714194
118.0	0.8573842617462573
119.0	0.8800656832745075
120.0	0.9076547808059465
121.0	0.9146846950807844
122.0	0.9321931608218897
123.0	0.9436001915320039
124.0	0.9764948847425658
125.0	0.9832595192334476
126.0	0.9912179127521318
127.0	0.9985131068109258
128.0	1.004349262057961
129.0	1.0113791763327988
130.0	1.0414884318118212
131.0	1.0438759498674264
132.0	1.0389682738642376
133.0	1.0501100247903958
134.0	1.0645677730160057
135.0	1.0758421638341418
136.0	1.0871165546522779
137.0	1.1010437433099753
138.0	1.0713324075068873
139.0	1.0826067983250234
140.0	1.111124375100309
141.0	1.144682267770761
142.0	1.1722713653022
143.0	1.2562324169243198
144.0	1.273475602881469
145.0	1.1872596730957223
146.0	1.168292168542858
147.0	1.1509163426937303
148.0	0.9565989009458551
149.0	0.49036968064293207
