#Position (bp)	insert size	chromosomes
3877256.5	187.46118721461187	0.0
1.16317685E7	178.95454545454547	2481737.5833333335
1.93862805E7	194.8235294117647	0.0
2.71407925E7	183.455223880597	0.0
3.48953045E7	216.1206896551724	2481737.5833333335
4.26498165E7	149.17253980683896	0.0
5.04043285E7	144.66666666666666	0.0
5.81588405E7	0.0	2481737.5833333335
6.59133525E7	156.11141304347825	0.0
7.36678645E7	147.0	0.0
8.14223765E7	0.0	2481737.5833333335
8.91768885E7	182.2	0.0
9.69314005E7	172.33333333333334	0.0
1.046859125E8	182.0	2481737.5833333335
1.124404245E8	137.58900493515438	0.0
1.201949365E8	147.5	0.0
1.279494485E8	0.0	2481737.5833333335
1.357039605E8	0.0	0.0
1.434584725E8	204.0	0.0
1.512129845E8	221.56410256410257	2481737.5833333335
1.589674965E8	126.88659793814433	0.0
1.667220085E8	152.62153846153845	0.0
1.744765205E8	212.14285714285714	2481737.5833333335
1.822310325E8	126.82442748091603	0.0
1.899855445E8	0.0	0.0
1.977400565E8	181.75	2481737.5833333335
2.054945685E8	210.68421052631578	0.0
2.132490805E8	145.9009628610729	0.0
2.210035925E8	203.4	2481737.5833333335
2.287581045E8	149.49303621169918	0.0
2.365126165E8	140.0	0.0
2.442671285E8	249.86206896551724	2481737.5833333335
2.48697503E8	0.0	0.0
2.52574759E8	235.6	0.0
2.597761525E8	138.0	2481737.5833333335
2.675306645E8	237.9516129032258	0.0
2.752851765E8	121.73948030176027	0.0
2.830396885E8	2481737.5833333335	2481737.5833333335
2.907942005E8	156.33	0.0
2.985487125E8	168.02648043067074	0.0
3.063032245E8	199.0	2481737.5833333335
3.140577365E8	252.48076923076923	0.0
3.218122485E8	160.1501154734411	0.0
3.295667605E8	0.0	2481737.5833333335
3.373212725E8	196.08333333333334	0.0
3.450757845E8	229.41666666666666	0.0
3.528302965E8	222.66666666666666	2481737.5833333335
3.605848085E8	181.42857142857142	0.0
3.683393205E8	136.5	0.0
3.760938325E8	269.14285714285717	2481737.5833333335
3.838483445E8	178.0	0.0
3.916028565E8	144.5	0.0
3.993573685E8	131.33333333333334	2481737.5833333335
4.071118805E8	332.0	0.0
4.148663925E8	74.0	0.0
4.226209045E8	155.05287009063443	2481737.5833333335
4.303754165E8	134.36760124610592	0.0
4.381299285E8	0.0	0.0
4.458844405E8	160.45454545454547	2481737.5833333335
4.536389525E8	190.0	0.0
4.613934645E8	138.99400494437577	0.0
4.691479765E8	139.79858657243815	2481737.5833333335
4.769024885E8	130.78518518518518	0.0
4.846570005E8	160.89473684210526	0.0
4.904921255E8	196.58620689655172	2481737.5833333335
4.943693815E8	0.0	0.0
5.001660245E8	142.8762278978389	0.0
5.079205365E8	170.96	2481737.5833333335
5.156750485E8	134.42857142857142	0.0
5.234295605E8	124.5	0.0
5.311840725E8	133.86328643482878	2481737.5833333335
5.389385845E8	139.47492625368733	0.0
5.466930965E8	175.03571428571428	0.0
5.544476085E8	0.0	2481737.5833333335
5.622021205E8	141.25	0.0
5.699566325E8	111.0	0.0
5.777111445E8	99.5	2481737.5833333335
5.854656565E8	0.0	0.0
5.932201685E8	0.0	0.0
6.009746805E8	0.0	2481737.5833333335
6.087291925E8	150.0	0.0
6.164837045E8	225.6	0.0
6.242382165E8	151.0	2481737.5833333335
6.319927285E8	136.90694239290988	0.0
6.397472405E8	159.97222222222223	0.0
6.475017525E8	273.6666666666667	2481737.5833333335
6.552562645E8	0.0	0.0
6.630107765E8	171.0	0.0
6.707652885E8	140.39062068965518	2481737.5833333335
6.785198005E8	186.66666666666666	0.0
6.862743125E8	216.66666666666666	0.0
6.903119965E8	217.0	2481737.5833333335
6.941892525E8	185.97697355942492	0.0
7.017833365E8	177.42105263157896	0.0
7.095378485E8	185.0	2481737.5833333335
7.172923605E8	167.0	0.0
7.250468725E8	216.66666666666666	0.0
7.328013845E8	198.71428571428572	2481737.5833333335
7.405558965E8	102.33333333333333	0.0
7.483104085E8	180.6162558228858	0.0
7.560649205E8	164.0	2481737.5833333335
7.638194325E8	187.0	0.0
7.715739445E8	208.0	0.0
7.793284565E8	148.3314917127072	2481737.5833333335
7.870829685E8	185.0	0.0
7.948374805E8	0.0	0.0
8.025919925E8	105.5	2481737.5833333335
8.103465045E8	217.0	0.0
8.181010165E8	201.0	0.0
8.258555285E8	170.0	2481737.5833333335
8.336100405E8	86.0	0.0
8.413645525E8	153.03537101114955	0.0
8.491190645E8	0.0	2481737.5833333335
8.568735765E8	113.5	0.0
8.646280885E8	0.0	0.0
8.723826005E8	134.0	2481737.5833333335
8.789432785E8	108.8	0.0
8.828205345E8	194.0952380952381	0.0
8.878916245E8	280.0	2481737.5833333335
8.956461365E8	153.00751879699249	0.0
9.034006485E8	0.0	0.0
9.111551605E8	312.0	2481737.5833333335
9.189096725E8	0.0	0.0
9.266641845E8	217.0	0.0
9.344186965E8	145.38524590163934	2481737.5833333335
9.421732085E8	244.33333333333334	0.0
9.499277205E8	0.0	0.0
9.576822325E8	184.75	2481737.5833333335
9.654367445E8	160.78378378378378	0.0
9.731912565E8	0.0	0.0
9.809457685E8	162.0	2481737.5833333335
9.887002805E8	0.0	0.0
9.964547925E8	216.8799817363512	0.0
1.0042093045E9	243.0	2481737.5833333335
1.0119638165E9	336.0	0.0
1.0197183285E9	154.9030303030303	0.0
1.0274728405E9	160.53471451473672	2481737.5833333335
1.0352273525E9	152.0	0.0
1.0429818645E9	0.0	0.0
1.0507363765E9	165.14643304130163	2481737.5833333335
1.0584908885E9	186.0093023255814	0.0
1.0624550525E9	217.0	0.0
1.0663323085E9	204.0	2481737.5833333335
1.0739999125E9	160.0	0.0
1.0817544245E9	141.0	0.0
1.0895089365E9	153.4375	2481737.5833333335
1.0972634485E9	146.16666666666666	0.0
1.1050179605E9	263.5	0.0
1.1127724725E9	19.0	2481737.5833333335
1.1205269845E9	224.69476082004556	0.0
1.1282814965E9	0.0	0.0
1.1360360085E9	315.0	2481737.5833333335
1.1437905205E9	0.0	0.0
1.1515450325E9	184.0	0.0
1.1592995445E9	0.0	2481737.5833333335
1.1670540565E9	201.0	0.0
1.1748085685E9	175.0	0.0
